Maximum fit for each generation: 
Best fit for generation 0: 89
Best fit for generation 1: 89
Best fit for generation 2: 89
Best fit for generation 3: 90
Best fit for generation 4: 90
Best fit for generation 5: 90
Best fit for generation 6: 90
Best fit for generation 7: 90
Best fit for generation 8: 93
Best fit for generation 9: 93
Best fit for generation 10: 93
Best fit for generation 11: 93
Best fit for generation 12: 93
Best fit for generation 13: 93
Best fit for generation 14: 93
Best fit for generation 15: 96
Best fit for generation 16: 96
Best fit for generation 17: 96
Best fit for generation 18: 96
Best fit for generation 19: 96
Best fit for generation 20: 96
Best fit for generation 21: 96
Best fit for generation 22: 96
Best fit for generation 23: 96
Best fit for generation 24: 96
Best fit for generation 25: 98
Best fit for generation 26: 98
Best fit for generation 27: 98
Best fit for generation 28: 98
Best fit for generation 29: 98
Best fit for generation 30: 98
Best fit for generation 31: 98
Best fit for generation 32: 98
Best fit for generation 33: 98
Best fit for generation 34: 98
Best fit for generation 35: 98
Best fit for generation 36: 98
Best fit for generation 37: 98
Best fit for generation 38: 98
Best fit for generation 39: 98
Best fit for generation 40: 98
Best fit for generation 41: 98
Best fit for generation 42: 98
Best fit for generation 43: 98
Best fit for generation 44: 98
Best fit for generation 45: 98
Best fit for generation 46: 98
Best fit for generation 47: 98
Best fit for generation 48: 98
Best fit for generation 49: 98
Best fit for generation 50: 98
Best fit for generation 51: 98
Best fit for generation 52: 98
Best fit for generation 53: 98
Best fit for generation 54: 98
Best fit for generation 55: 98
Best fit for generation 56: 98
Best fit for generation 57: 98
Best fit for generation 58: 98
Best fit for generation 59: 98
Best fit for generation 60: 98
Best fit for generation 61: 98
Best fit for generation 62: 98
Best fit for generation 63: 98
Best fit for generation 64: 98
Best fit for generation 65: 98
Best fit for generation 66: 99
Best fit for generation 67: 99
Best fit for generation 68: 99
Best fit for generation 69: 99
Best fit for generation 70: 99
Best fit for generation 71: 99
Best fit for generation 72: 99
Best fit for generation 73: 99
Best fit for generation 74: 99
Best fit for generation 75: 99
Best fit for generation 76: 99
Best fit for generation 77: 99
Best fit for generation 78: 99
Best fit for generation 79: 99
Best fit for generation 80: 99
Best fit for generation 81: 99
Best fit for generation 82: 99
