Maximum fit for each generation: 
Best fit for generation 0: 1795
Best fit for generation 1: 1798
Best fit for generation 2: 1798
Best fit for generation 3: 1798
Best fit for generation 4: 1840
Best fit for generation 5: 1970
Best fit for generation 6: 1985
Best fit for generation 7: 1985
Best fit for generation 8: 1985
Best fit for generation 9: 1985
Best fit for generation 10: 1985
Best fit for generation 11: 1985
Best fit for generation 12: 1985
Best fit for generation 13: 1985
Best fit for generation 14: 1985
Best fit for generation 15: 1985
Best fit for generation 16: 1985
Best fit for generation 17: 1985
Best fit for generation 18: 1999
Best fit for generation 19: 1999
Best fit for generation 20: 1999
Best fit for generation 21: 1999
Best fit for generation 22: 1999
Best fit for generation 23: 1999
Best fit for generation 24: 1999
Best fit for generation 25: 1999
Best fit for generation 26: 1999
Best fit for generation 27: 1999
Best fit for generation 28: 1999
Best fit for generation 29: 1999
Best fit for generation 30: 1999
Best fit for generation 31: 1999
Best fit for generation 32: 1999
Best fit for generation 33: 1999
Best fit for generation 34: 1999
Best fit for generation 35: 1999
Best fit for generation 36: 1999
Best fit for generation 37: 1999
Best fit for generation 38: 2003
Best fit for generation 39: 2003
Best fit for generation 40: 2003
Best fit for generation 41: 2003
Best fit for generation 42: 2003
Best fit for generation 43: 2003
Best fit for generation 44: 2003
Best fit for generation 45: 2003
Best fit for generation 46: 2003
Best fit for generation 47: 2003
Best fit for generation 48: 2003
Best fit for generation 49: 2003
Best fit for generation 50: 2003
Best fit for generation 51: 2025
Best fit for generation 52: 2025
Best fit for generation 53: 2039
Best fit for generation 54: 2039
Best fit for generation 55: 2039
Best fit for generation 56: 2039
Best fit for generation 57: 2039
Best fit for generation 58: 2039
Best fit for generation 59: 2039
Best fit for generation 60: 2064
Best fit for generation 61: 2064
Best fit for generation 62: 2064
Best fit for generation 63: 2064
Best fit for generation 64: 2064
Best fit for generation 65: 2064
Best fit for generation 66: 2064
Best fit for generation 67: 2064
Best fit for generation 68: 2064
Best fit for generation 69: 2064
Best fit for generation 70: 2064
Best fit for generation 71: 2064
Best fit for generation 72: 2064
Best fit for generation 73: 2064
Best fit for generation 74: 2064
Best fit for generation 75: 2064
Best fit for generation 76: 2064
Best fit for generation 77: 2064
Best fit for generation 78: 2064
Best fit for generation 79: 2064
Best fit for generation 80: 2064
Best fit for generation 81: 2064
Best fit for generation 82: 2064
Best fit for generation 83: 2064
Best fit for generation 84: 2064
Best fit for generation 85: 2064
Best fit for generation 86: 2064
Best fit for generation 87: 2064
Best fit for generation 88: 2064
Best fit for generation 89: 2064
Best fit for generation 90: 2064
Best fit for generation 91: 2064
Best fit for generation 92: 2064
Best fit for generation 93: 2064
Best fit for generation 94: 2064
Best fit for generation 95: 2064
Best fit for generation 96: 2064
Best fit for generation 97: 2064
Best fit for generation 98: 2064
Best fit for generation 99: 2064
Best fit for generation 100: 2064
Best fit for generation 101: 2064
Best fit for generation 102: 2064
Best fit for generation 103: 2064
Best fit for generation 104: 2064
Best fit for generation 105: 2064
Best fit for generation 106: 2064
Best fit for generation 107: 2064
Best fit for generation 108: 2064
Best fit for generation 109: 2064
Best fit for generation 110: 2064
Best fit for generation 111: 2064
Best fit for generation 112: 2064
Best fit for generation 113: 2064
Best fit for generation 114: 2064
Best fit for generation 115: 2064
Best fit for generation 116: 2064
Best fit for generation 117: 2064
Best fit for generation 118: 2064
Best fit for generation 119: 2064
Best fit for generation 120: 2064
Best fit for generation 121: 2064
Best fit for generation 122: 2064
Best fit for generation 123: 2064
Best fit for generation 124: 2064
Best fit for generation 125: 2064
Best fit for generation 126: 2064
Best fit for generation 127: 2064
Best fit for generation 128: 2092
Best fit for generation 129: 2092
