Maximum fit for each generation: 
Best fit for generation 0: 1799
Best fit for generation 1: 1799
Best fit for generation 2: 1926
Best fit for generation 3: 1926
Best fit for generation 4: 2026
Best fit for generation 5: 2026
Best fit for generation 6: 2026
Best fit for generation 7: 2026
Best fit for generation 8: 2026
Best fit for generation 9: 2026
Best fit for generation 10: 2126
Best fit for generation 11: 2126
Best fit for generation 12: 2126
Best fit for generation 13: 2126
Best fit for generation 14: 2126
Best fit for generation 15: 2126
Best fit for generation 16: 2126
Best fit for generation 17: 2126
Best fit for generation 18: 2126
Best fit for generation 19: 2126
Best fit for generation 20: 2126
Best fit for generation 21: 2130
Best fit for generation 22: 2130
Best fit for generation 23: 2130
Best fit for generation 24: 2130
Best fit for generation 25: 2130
Best fit for generation 26: 2130
Best fit for generation 27: 2230
Best fit for generation 28: 2230
Best fit for generation 29: 2230
Best fit for generation 30: 2234
Best fit for generation 31: 2234
Best fit for generation 32: 2234
Best fit for generation 33: 2234
Best fit for generation 34: 2234
Best fit for generation 35: 2234
Best fit for generation 36: 2234
Best fit for generation 37: 2234
Best fit for generation 38: 2234
Best fit for generation 39: 2234
Best fit for generation 40: 2234
Best fit for generation 41: 2234
Best fit for generation 42: 2234
Best fit for generation 43: 2234
Best fit for generation 44: 2234
Best fit for generation 45: 2234
Best fit for generation 46: 2234
Best fit for generation 47: 2234
Best fit for generation 48: 2234
Best fit for generation 49: 2234
Best fit for generation 50: 2234
Best fit for generation 51: 2234
Best fit for generation 52: 2234
Best fit for generation 53: 2234
Best fit for generation 54: 2234
Best fit for generation 55: 2234
Best fit for generation 56: 2234
Best fit for generation 57: 2234
Best fit for generation 58: 2234
Best fit for generation 59: 2234
Best fit for generation 60: 2234
Best fit for generation 61: 2234
Best fit for generation 62: 2234
Best fit for generation 63: 2234
Best fit for generation 64: 2234
Best fit for generation 65: 2234
Best fit for generation 66: 2234
Best fit for generation 67: 2234
Best fit for generation 68: 2234
Best fit for generation 69: 2234
Best fit for generation 70: 2234
Best fit for generation 71: 2234
Best fit for generation 72: 2234
Best fit for generation 73: 2234
Best fit for generation 74: 2234
Best fit for generation 75: 2234
Best fit for generation 76: 2234
Best fit for generation 77: 2234
Best fit for generation 78: 2234
Best fit for generation 79: 2234
Best fit for generation 80: 2234
Best fit for generation 81: 2234
Best fit for generation 82: 2234
Best fit for generation 83: 2234
Best fit for generation 84: 2234
Best fit for generation 85: 2234
Best fit for generation 86: 2277
Best fit for generation 87: 2277
Best fit for generation 88: 2277
Best fit for generation 89: 2277
Best fit for generation 90: 2277
Best fit for generation 91: 2277
Best fit for generation 92: 2277
Best fit for generation 93: 2277
Best fit for generation 94: 2277
Best fit for generation 95: 2277
Best fit for generation 96: 2277
Best fit for generation 97: 2277
Best fit for generation 98: 2278
Best fit for generation 99: 2278
Best fit for generation 100: 2278
Best fit for generation 101: 2278
Best fit for generation 102: 2278
Best fit for generation 103: 2278
Best fit for generation 104: 2278
Best fit for generation 105: 2278
Best fit for generation 106: 2278
Best fit for generation 107: 2278
Best fit for generation 108: 2278
Best fit for generation 109: 2278
Best fit for generation 110: 2278
Best fit for generation 111: 2278
Best fit for generation 112: 2278
Best fit for generation 113: 2278
Best fit for generation 114: 2278
Best fit for generation 115: 2278
Best fit for generation 116: 2283
