Maximum fit for each generation: 
Best fit for generation 0: 737
Best fit for generation 1: 737
Best fit for generation 2: 737
Best fit for generation 3: 737
Best fit for generation 4: 737
Best fit for generation 5: 737
Best fit for generation 6: 737
Best fit for generation 7: 737
Best fit for generation 8: 737
Best fit for generation 9: 737
Best fit for generation 10: 737
Best fit for generation 11: 737
Best fit for generation 12: 737
Best fit for generation 13: 737
Best fit for generation 14: 737
Best fit for generation 15: 737
Best fit for generation 16: 737
Best fit for generation 17: 737
Best fit for generation 18: 737
Best fit for generation 19: 737
Best fit for generation 20: 737
Best fit for generation 21: 737
Best fit for generation 22: 737
Best fit for generation 23: 737
Best fit for generation 24: 737
Best fit for generation 25: 737
Best fit for generation 26: 737
Best fit for generation 27: 737
Best fit for generation 28: 737
Best fit for generation 29: 737
Best fit for generation 30: 737
Best fit for generation 31: 737
Best fit for generation 32: 737
Best fit for generation 33: 737
Best fit for generation 34: 737
Best fit for generation 35: 737
Best fit for generation 36: 737
Best fit for generation 37: 737
Best fit for generation 38: 737
Best fit for generation 39: 737
Best fit for generation 40: 737
Best fit for generation 41: 737
Best fit for generation 42: 737
Best fit for generation 43: 737
Best fit for generation 44: 737
Best fit for generation 45: 737
Best fit for generation 46: 737
Best fit for generation 47: 737
Best fit for generation 48: 737
Best fit for generation 49: 737
Best fit for generation 50: 737
Best fit for generation 51: 737
Best fit for generation 52: 737
Best fit for generation 53: 737
Best fit for generation 54: 737
Best fit for generation 55: 737
Best fit for generation 56: 737
Best fit for generation 57: 737
Best fit for generation 58: 737
Best fit for generation 59: 737
Best fit for generation 60: 737
Best fit for generation 61: 737
Best fit for generation 62: 737
Best fit for generation 63: 737
Best fit for generation 64: 737
Best fit for generation 65: 737
Best fit for generation 66: 737
Best fit for generation 67: 737
Best fit for generation 68: 737
Best fit for generation 69: 737
Best fit for generation 70: 737
Best fit for generation 71: 737
Best fit for generation 72: 737
Best fit for generation 73: 737
Best fit for generation 74: 737
Best fit for generation 75: 737
Best fit for generation 76: 737
Best fit for generation 77: 737
Best fit for generation 78: 737
Best fit for generation 79: 737
Best fit for generation 80: 737
Best fit for generation 81: 737
Best fit for generation 82: 737
Best fit for generation 83: 737
Best fit for generation 84: 737
Best fit for generation 85: 737
Best fit for generation 86: 737
Best fit for generation 87: 737
Best fit for generation 88: 737
Best fit for generation 89: 737
Best fit for generation 90: 737
Best fit for generation 91: 737
Best fit for generation 92: 737
Best fit for generation 93: 737
Best fit for generation 94: 737
Best fit for generation 95: 737
Best fit for generation 96: 737
Best fit for generation 97: 737
Best fit for generation 98: 737
Best fit for generation 99: 737
Best fit for generation 100: 737
Best fit for generation 101: 737
Best fit for generation 102: 737
Best fit for generation 103: 737
Best fit for generation 104: 737
Best fit for generation 105: 737
Best fit for generation 106: 737
Best fit for generation 107: 737
Best fit for generation 108: 737
Best fit for generation 109: 737
Best fit for generation 110: 737
Best fit for generation 111: 737
Best fit for generation 112: 737
Best fit for generation 113: 737
Best fit for generation 114: 737
Best fit for generation 115: 737
Best fit for generation 116: 737
Best fit for generation 117: 737
Best fit for generation 118: 737
Best fit for generation 119: 737
Best fit for generation 120: 737
